Nationality,Gender,Age,Number
Española,Male,0-4,52192
Española,Male,5-9,60562
Española,Male,10-14,65943
Española,Male,15-19,66657
Española,Male,20-24,67128
Española,Male,25-29,74939
Española,Male,30-34,79946
Española,Male,35-39,81056
Española,Male,40-44,92947
Española,Male,45-49,106288
Española,Male,50-54,102740
Española,Male,55-59,100444
Española,Male,60-64,87654
Española,Male,65-69,67555
Española,Male,70-74,57348
Española,Male,75-79,51407
Española,Male,80-84,36493
Española,Male,85-89,26736
Española,Male,90-94,12152
Española,Male,95-99,2467
Española,Male,100&more,296
Española,Female,0-4,49787
Española,Female,5-9,57562
Española,Female,10-14,63231
Española,Female,15-19,64100
Española,Female,20-24,65801
Española,Female,25-29,75970
Española,Female,30-34,79913
Española,Female,35-39,82167
Española,Female,40-44,97666
Española,Female,45-49,113373
Española,Female,50-54,112769
Española,Female,55-59,115270
Española,Female,60-64,103994
Española,Female,65-69,87207
Española,Female,70-74,79280
Española,Female,75-79,76917
Española,Female,80-84,59661
Española,Female,85-89,52653
Española,Female,90-94,29263
Española,Female,95-99,8531
Española,Female,100&more,1427